Order ID,Order Date,Month,City,Region,Category,Product,Quantity,Unit Price,Discount %,Sales,Profit,Payment Mode,Customer Segment
ORD-0001,2025-11-24,Nov-2025,Pune,West,Electronics,Laptop Stand,4,1246.0,0,4984.0,897.12,UPI,Home Office
ORD-0002,2025-10-07,Oct-2025,Pune,West,Furniture,Study Table,2,6472.0,0,12944.0,1941.6,Net Banking,Home Office
ORD-0003,2025-01-14,Jan-2025,Kolkata,East,Electronics,USB-C Cable,4,309.0,0.05,1174.2,211.36,Cash,Home Office
ORD-0004,2025-05-23,May-2025,Nagpur,West,Accessories,Water Bottle,5,360.0,0,1800.0,450.0,Credit Card,Consumer
ORD-0005,2025-06-22,Jun-2025,Pune,West,Electronics,Wireless Mouse,2,781.0,0,1562.0,281.16,Debit Card,Consumer
ORD-0006,2025-08-24,Aug-2025,Kolkata,East,Electronics,Wireless Mouse,8,783.0,0.05,5950.8,1071.14,Net Banking,Corporate
ORD-0007,2025-10-23,Oct-2025,Hyderabad,South,Accessories,Backpack,1,1230.0,0.1,1107.0,276.75,UPI,Consumer
ORD-0008,2025-02-21,Feb-2025,Delhi,North,Office Supplies,Notebook Pack,2,262.0,0,524.0,115.28,Debit Card,Consumer
ORD-0009,2025-12-10,Dec-2025,Bengaluru,South,Accessories,Backpack,7,1227.0,0.05,8159.55,2039.89,Credit Card,Home Office
ORD-0010,2025-05-06,May-2025,Mumbai,West,Office Supplies,Printer Paper,2,430.0,0.05,817.0,179.74,Net Banking,Consumer
ORD-0011,2025-12-17,Dec-2025,Chennai,South,Accessories,Laptop Sleeve,4,649.0,0.1,2336.4,584.1,Debit Card,Corporate
ORD-0012,2025-05-18,May-2025,Pune,West,Electronics,USB-C Cable,6,302.0,0.1,1630.8,293.54,Credit Card,Home Office
ORD-0013,2025-09-13,Sep-2025,Delhi,North,Accessories,Desk Lamp,6,893.0,0,5358.0,1339.5,Credit Card,Home Office
ORD-0014,2025-10-15,Oct-2025,Kolkata,East,Office Supplies,Notebook Pack,4,246.0,0.05,934.8,205.66,Debit Card,Consumer
ORD-0015,2025-03-12,Mar-2025,Kolkata,East,Office Supplies,Printer Paper,1,370.0,0,370.0,81.4,Credit Card,Home Office
ORD-0016,2025-08-05,Aug-2025,Bhopal,Central,Electronics,Wireless Mouse,2,811.0,0.05,1540.9,277.36,Debit Card,Home Office
ORD-0017,2025-01-06,Jan-2025,Pune,West,Furniture,Bookshelf,6,3639.0,0.1,19650.6,2947.59,Debit Card,Consumer
ORD-0018,2025-05-31,May-2025,Delhi,North,Electronics,Bluetooth Speaker,2,1608.0,0.15,2733.6,492.05,Debit Card,Home Office
ORD-0019,2025-04-02,Apr-2025,Kolkata,East,Accessories,Desk Lamp,1,917.0,0.15,779.45,194.86,Net Banking,Home Office
ORD-0020,2025-04-12,Apr-2025,Mumbai,West,Office Supplies,Desk Organizer,4,703.0,0.1,2530.8,556.78,Net Banking,Consumer
ORD-0021,2025-11-03,Nov-2025,Chennai,South,Office Supplies,Printer Paper,1,426.0,0.15,362.1,79.66,Debit Card,Consumer
ORD-0022,2025-01-30,Jan-2025,Hyderabad,South,Accessories,Desk Lamp,3,838.0,0.1,2262.6,565.65,UPI,Home Office
ORD-0023,2025-03-06,Mar-2025,Mumbai,West,Furniture,Bookshelf,3,3527.0,0,10581.0,1587.15,Net Banking,Corporate
ORD-0024,2025-04-19,Apr-2025,Kolkata,East,Accessories,Water Bottle,4,332.0,0,1328.0,332.0,Debit Card,Corporate
ORD-0025,2025-09-22,Sep-2025,Jaipur,North,Electronics,Wireless Mouse,2,743.0,0,1486.0,267.48,Net Banking,Consumer
ORD-0026,2025-10-29,Oct-2025,Hyderabad,South,Electronics,Laptop Stand,1,1326.0,0,1326.0,238.68,UPI,Corporate
ORD-0027,2025-02-06,Feb-2025,Kolkata,East,Electronics,USB-C Cable,2,298.0,0.05,566.2,101.92,Net Banking,Home Office
ORD-0028,2025-08-31,Aug-2025,Hyderabad,South,Accessories,Water Bottle,3,344.0,0,1032.0,258.0,Cash,Corporate
ORD-0029,2025-08-05,Aug-2025,Delhi,North,Office Supplies,Printer Paper,5,371.0,0.1,1669.5,367.29,UPI,Consumer
ORD-0030,2025-07-26,Jul-2025,Chennai,South,Accessories,Water Bottle,5,335.0,0,1675.0,418.75,Cash,Consumer
ORD-0031,2025-08-05,Aug-2025,Mumbai,West,Office Supplies,Notebook Pack,3,264.0,0,792.0,174.24,Net Banking,Consumer
ORD-0032,2025-01-26,Jan-2025,Kolkata,East,Accessories,Laptop Sleeve,1,654.0,0.1,588.6,147.15,Credit Card,Consumer
ORD-0033,2025-07-28,Jul-2025,Jaipur,North,Office Supplies,Printer Paper,1,393.0,0,393.0,86.46,Cash,Consumer
ORD-0034,2025-07-19,Jul-2025,Bengaluru,South,Accessories,Desk Lamp,5,893.0,0.05,4241.75,1060.44,Net Banking,Home Office
ORD-0035,2025-09-07,Sep-2025,Mumbai,West,Electronics,USB-C Cable,2,321.0,0.05,609.9,109.78,Net Banking,Consumer
